name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
shivalikprints.com,1,0,1,0.30615878105163574,1,1.0174860954284668,2,0,1
likeminded.ca,1,0,0,0.9028985500335693,3,0.903815507888794,,,1
likeminded.ca,1,1,0,0.9363586902618408,3,0.9374217987060547,,,1
likeminded.ca,1,0,1,0.82057785987854,3,0.8216314315795898,0,3,1
alltransport.ru,1,0,0,0.922203540802002,3,0.9233903884887695,,,1
alltransport.ru,1,1,0,0.8104875087738037,3,0.8117849826812744,,,1
alltransport.ru,1,0,1,0.23720574378967285,1,0.8449413776397705,2,0,1
brown.edu,1,0,0,1.0389597415924072,3,6.044895172119141,,,1
brown.edu,1,1,0,1.0491883754730225,3,6.05832576751709,,,1
brown.edu,1,0,1,1.0328471660614014,3,6.0414533615112305,0,3,1
gucenmez.com,1,0,0,0.6868517398834229,3,0.6878824234008789,,,2
gucenmez.com,1,1,0,0.5246596336364746,3,0.5256707668304443,,,2
gucenmez.com,1,0,1,0.3070652484893799,1,0.7202448844909668,2,0,2
seedy.dk,1,0,0,1.5263574123382568,6,1.5286931991577148,,,1
seedy.dk,1,1,0,1.6215803623199463,6,6.629517078399658,,,1
seedy.dk,1,0,1,1.1698362827301025,4,1.47877836227417,2,3,1
hivelocitymedia.com,1,0,0,0.6115825176239014,3,0.6130204200744629,,,2
hivelocitymedia.com,1,1,0,0.5230576992034912,3,0.5242736339569092,,,2
hivelocitymedia.com,1,0,1,0.24667143821716309,1,0.616837739944458,2,0,2
jabeye.org,1,0,0,1.1767642498016357,6,1.178548812866211,,,1
jabeye.org,1,1,0,1.452517032623291,6,1.4545402526855469,,,1
jabeye.org,1,0,1,0.20623183250427246,1,0.40737009048461914,2,0,1
cellularfactory.com,1,0,0,0.5987350940704346,3,0.5997614860534668,,,1
cellularfactory.com,1,1,0,0.7718081474304199,3,0.7728679180145264,,,1
cellularfactory.com,1,0,1,0.2419898509979248,1,0.5563032627105713,2,0,1
tsksv.ru,1,1,0,0.875504732131958,3,5.882039785385132,,,1
tsksv.ru,1,0,1,0.195814847946167,1,1.0275459289550781,2,0,1
gaybodyblog.com,1,0,0,0.6142215728759766,3,0.6152257919311523,,,1
gaybodyblog.com,1,1,0,0.7353153228759766,3,0.7367115020751953,,,1
gaybodyblog.com,1,0,1,0.7105691432952881,3,0.7121765613555908,1,2,1
datadikdki.net,1,0,0,1.5286290645599365,6,1.5317227840423584,,,2
datadikdki.net,1,1,0,1.4417192935943604,6,1.4450328350067139,,,2
datadikdki.net,1,0,1,1.033355474472046,4,6.148434638977051,3,2,2
mumphi.de,1,0,0,1.8382055759429932,6,1.8403429985046387,,,1
mumphi.de,1,1,0,1.5533931255340576,6,1.5567305088043213,,,1
mumphi.de,1,0,1,0.26727771759033203,1,1.374830722808838,2,0,1
brfone.com,1,0,0,0.8101723194122314,3,0.8117978572845459,,,2
brfone.com,1,1,0,0.8319089412689209,3,0.8333783149719238,,,2
brfone.com,1,0,1,0.9345664978027344,3,5.943119764328003,1,2,2
newpages2u.com,1,0,0,1.6268384456634521,6,1.630401611328125,,,1
newpages2u.com,1,1,0,1.6491003036499023,6,1.6509194374084473,,,1
newpages2u.com,1,0,1,0.1971580982208252,1,1.1384525299072266,2,0,1
bigjournalism.com,1,0,0,0.6022012233734131,3,0.6035857200622559,,,2
bigjournalism.com,1,1,0,0.6283323764801025,3,0.6295480728149414,,,2
bigjournalism.com,1,0,1,0.2045590877532959,1,0.6177141666412354,2,0,2
congsoxanh.com,1,0,0,0.7852404117584229,3,0.7863099575042725,,,2
congsoxanh.com,1,1,0,0.6269335746765137,3,0.6279823780059814,,,2
congsoxanh.com,1,0,1,0.29260754585266113,1,0.6037511825561523,2,0,2
visualtap.com,1,0,0,0.820188045501709,3,0.8212859630584717,,,1
visualtap.com,1,1,0,0.8327736854553223,3,0.8339023590087891,,,1
visualtap.com,1,0,1,0.8350720405578613,3,5.84115743637085,1,2,1
oberoncompany.com,1,0,0,0.6437523365020752,3,0.6450233459472656,,,2
oberoncompany.com,1,1,0,0.6289083957672119,3,0.6302249431610107,,,2
oberoncompany.com,1,0,1,0.2426166534423828,1,0.6531960964202881,2,0,2
consejodentistas.org,1,0,0,1.3320116996765137,6,6.339418411254883,,,1
consejodentistas.org,1,1,0,1.1394941806793213,6,1.1414787769317627,,,1
consejodentistas.org,1,0,1,0.20504426956176758,1,6.251324653625488,2,0,1
k-dsl.de,1,0,1,1.8958630561828613,7,2.097168445587158,6,6,0
asip.es,1,0,0,3.4077084064483643,13,3.414529800415039,,,0
asip.es,1,1,0,2.761662244796753,12,7.771709680557251,,,0
asip.es,1,0,1,0.8630695343017578,5,0.8655879497528076,4,5,0
androgyn.org,1,0,1,0.17597436904907227,1,0.8849382400512695,2,0,1
hotel.ch,1,0,0,1.11232328414917,6,1.1157464981079102,,,2
hotel.ch,1,1,0,1.3416743278503418,6,1.3448405265808105,,,2
hotel.ch,1,0,1,1.059300422668457,4,1.2656290531158447,2,3,2
c3budiman.tk,1,0,0,3.4708480834960938,13,3.475637912750244,,,0
c3budiman.tk,1,1,0,3.594047784805298,13,3.5986058712005615,,,0
c3budiman.tk,1,0,1,1.5360302925109863,5,1.5385537147521973,4,5,0
phoenix-music.ru,1,0,1,1.6210289001464844,6,1.9353132247924805,6,5,0
udoo24.com,1,1,0,0.6305642127990723,3,0.631507158279419,,,1
udoo24.com,1,0,1,0.31160855293273926,1,0.7451183795928955,2,0,1
ljyelectronic.com,1,0,0,0.7392323017120361,3,0.7404611110687256,,,1
ljyelectronic.com,1,1,0,0.5781126022338867,3,0.5790224075317383,,,1
ljyelectronic.com,1,0,1,0.7475121021270752,3,5.754846096038818,1,2,1
bek.ir,1,0,1,1.5582025051116943,5,1.561171054840088,4,5,0
valerievandenbroek.nl,1,0,0,2.264983654022217,10,2.269747018814087,,,0
valerievandenbroek.nl,1,1,0,1.8005576133728027,10,1.805234432220459,,,0
valerievandenbroek.nl,1,0,1,0.914071798324585,4,0.9161858558654785,3,4,0
lacuentaperdida.org,1,0,0,2.779233455657959,21,2.7903401851654053,,,0
lacuentaperdida.org,1,1,0,3.339266061782837,21,3.3481032848358154,,,0
lacuentaperdida.org,1,0,1,0.9884004592895508,7,1.046637773513794,6,6,0
alkoholiker-clan.de,1,0,0,1.7725133895874023,6,1.774998426437378,,,1
alkoholiker-clan.de,1,1,0,1.5323553085327148,6,1.5353410243988037,,,1
alkoholiker-clan.de,1,0,1,0.3379063606262207,1,1.589442253112793,2,0,1
doommovie.com,1,0,0,0.5628771781921387,3,0.5645713806152344,,,2
doommovie.com,1,1,0,0.6567869186401367,3,0.6577916145324707,,,2
doommovie.com,1,0,1,0.20039129257202148,1,0.5234518051147461,2,0,2
uanet.net,1,0,0,1.9400317668914795,6,1.9419944286346436,,,1
uanet.net,1,1,0,2.2264950275421143,6,2.229398488998413,,,1
uanet.net,1,0,1,0.21861934661865234,1,6.702419281005859,2,0,1
tomorrowsreflection.com,1,0,0,0.7742984294891357,3,0.7754850387573242,,,1
tomorrowsreflection.com,1,1,0,0.7638490200042725,3,0.7655947208404541,,,1
tomorrowsreflection.com,1,0,1,0.2148585319519043,1,0.7336840629577637,2,0,1
lighthouse.cc,1,0,0,0.9499530792236328,3,0.9517271518707275,,,1
lighthouse.cc,1,1,0,0.974259614944458,3,0.9751763343811035,,,1
lighthouse.cc,1,0,1,0.9522778987884521,3,0.95330810546875,0,3,1
7sports.jp,1,0,0,1.9802217483520508,6,1.982466220855713,,,1
7sports.jp,1,1,0,1.3920907974243164,6,1.3940739631652832,,,1
7sports.jp,1,0,1,1.005702018737793,4,1.7154066562652588,2,3,1
gamepsvita.com,1,0,0,0.521813154220581,3,0.5229251384735107,,,2
gamepsvita.com,1,1,0,0.73880934715271,3,0.7400631904602051,,,2
gamepsvita.com,1,0,1,0.7529022693634033,3,5.760630130767822,1,2,2
thunderex.com,1,0,0,0.8564224243164062,3,0.8575327396392822,,,1
thunderex.com,1,1,0,0.7317149639129639,3,0.7331244945526123,,,1
thunderex.com,1,0,1,0.26222705841064453,1,0.8228096961975098,2,0,1
zamlelova.ru,1,0,0,3.5558106899261475,12,8.565998315811157,,,1
zamlelova.ru,1,1,0,3.25871205329895,12,3.2627809047698975,,,1
zamlelova.ru,1,0,1,0.20007538795471191,1,8.589325666427612,2,0,1
atomicbase.com,1,0,0,0.8831241130828857,3,0.8843374252319336,,,1
atomicbase.com,1,1,0,1.0682783126831055,3,1.069223165512085,,,1
atomicbase.com,1,0,1,0.17119264602661133,1,0.8220932483673096,2,0,1
fanzi.pl,1,0,0,3.7709226608276367,17,3.777712106704712,,,0
fanzi.pl,1,1,0,3.0214004516601562,17,3.0278565883636475,,,0
fanzi.pl,1,0,1,1.534562349319458,7,1.5397858619689941,5,7,0
womenology.com,1,0,0,0.8612511157989502,3,0.8630011081695557,,,1
womenology.com,1,1,0,1.9866399765014648,3,1.987635612487793,,,1
womenology.com,1,0,1,0.48882150650024414,3,5.495154619216919,1,2,1
tonaci.com,1,0,0,0.7051472663879395,3,0.7062585353851318,,,1
tonaci.com,1,1,0,0.6290786266326904,3,0.6301720142364502,,,1
tonaci.com,1,0,1,0.3939192295074463,1,0.933570146560669,2,0,1
